,close,high,high_limit,low,volume,day
2016-01-06-000333.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000333.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000333.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000338.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000338.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000338.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000338.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000400.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000400.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000400.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000400.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000401.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000401.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000401.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000401.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000402.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000402.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000402.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000402.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000403.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000403.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000403.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000403.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000404.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000404.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000404.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000404.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000406.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000406.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000406.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000406.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000407.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
