,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,top_count,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
600234.XSHG_2017-07-10,0.997810218978,2017-07-10 00:00:00,2017-07-07 00:00:00,600234.XSHG,12.43,12.6,12.81,12.17,12.17,916822.0,19.0,13.05,13.05,13.05,12.4,12.4,529602.0,20.0,13.68,13.7,13.7,13.25,13.25,1479201.0,21.0,13.17,13.7,14.36,13.08,13.67,1119430.0,22.0,2.0,1.0,13.25,200600.0,09:32:00,0.0,0,2,0.0498793242156,984181.75,19.8,3181839.0,11.51,True,False
600234.XSHG_2017-07-12,1.02675343456,2017-07-12 00:00:00,2017-07-11 00:00:00,600234.XSHG,13.68,13.7,13.7,13.25,13.25,1479201.0,21.0,13.17,13.7,14.36,13.08,13.67,1119430.0,22.0,13.83,13.83,13.83,13.23,13.27,917800.0,23.0,14.1,14.52,14.52,13.89,14.2,2714801.0,24.0,1.0,1.0,13.26,580600.0,10:03:00,1.0,0,1,0.0501138952164,971626.638554,19.8,3181839.0,11.51,True,False
600234.XSHG_2017-07-13,0.964187327824,2017-07-13 00:00:00,2017-07-12 00:00:00,600234.XSHG,13.17,13.7,14.36,13.08,13.67,1119430.0,22.0,13.83,13.83,13.83,13.23,13.27,917800.0,23.0,14.1,14.52,14.52,13.89,14.2,2714801.0,24.0,14.77,14.8,14.81,14.0,14.0,1951200.0,25.0,2.0,1.0,13.89,962500.0,09:47:00,1.0,0,1,0.0501138952164,963050.45122,19.8,3181839.0,11.51,True,False
600259.XSHG_2017-07-07,1.02137279079,2017-07-07 00:00:00,2017-07-06 00:00:00,600259.XSHG,40.22,40.39,43.53,39.08,39.45,8539099.0,18.0,44.24,44.24,44.24,40.05,40.14,18939064.0,19.0,48.66,48.66,48.66,43.58,44.5,28151641.0,20.0,48.96,49.91,53.53,48.13,49.7,25541946.0,21.0,2.0,1.0,43.62,26155600.0,14:29:00,0.0,0,1,0.0999502734958,4502286.09412,49.47,12843400.0,34.01,False,False
600265.XSHG_2017-07-06,0.964507866813,2017-07-06 00:00:00,2017-07-05 00:00:00,600265.XSHG,24.79,24.98,26.11,23.75,23.75,409781.0,7.0,26.03,26.03,26.03,24.5,24.84,433765.0,8.0,26.88,27.33,27.33,26.2,27.3,1312657.0,9.0,26.93,27.13,28.22,26.36,26.36,301681.0,10.0,2.0,1.0,26.2,134700.0,09:34:00,0.0,0,6,0.0500201694232,871490.916667,37.78,2897003.0,22.76,True,False
600275.XSHG_2017-08-18,1.01517450683,2017-08-18 00:00:00,2017-08-17 00:00:00,600275.XSHG,5.98,5.98,6.23,5.89,5.94,3791941.0,48.0,6.28,6.28,6.28,5.96,6.0,8058079.0,49.0,6.59,6.59,6.59,6.29,6.36,11249950.0,50.0,6.69,6.92,6.92,6.66,6.69,17875615.0,51.0,2.0,1.0,6.29,10395000.0,13:04:00,1.0,0,1,0.0501672240803,6809151.63095,10.86,23614537.0,5.53,True,False
600275.XSHG_2017-08-21,0.96387283237,2017-08-21 00:00:00,2017-08-18 00:00:00,600275.XSHG,6.28,6.28,6.28,5.96,6.0,8058079.0,49.0,6.59,6.59,6.59,6.29,6.36,11249950.0,50.0,6.69,6.92,6.92,6.66,6.69,17875615.0,51.0,6.97,6.98,7.02,6.67,6.67,12111354.0,52.0,3.0,2.0,6.69,7627800.0,10:05:00,1.0,0,0,0.0501672240803,6655403.19277,10.86,23614537.0,5.53,True,False
600275.XSHG_2017-08-23,1.02459016393,2017-08-23 00:00:00,2017-08-22 00:00:00,600275.XSHG,6.69,6.92,6.92,6.66,6.69,17875615.0,51.0,6.97,6.98,7.02,6.67,6.67,12111354.0,52.0,7.32,7.32,7.32,6.97,6.97,10770626.0,53.0,7.69,7.69,7.69,7.5,7.5,3790600.0,54.0,1.0,1.0,6.99,9844300.0,13:09:00,3.0,1,1,0.0502152080344,6371582.89024,10.33,23614537.0,5.53,True,False
600275.XSHG_2017-08-24,1.0,2017-08-24 00:00:00,2017-08-23 00:00:00,600275.XSHG,6.97,6.98,7.02,6.67,6.67,12111354.0,52.0,7.32,7.32,7.32,6.97,6.97,10770626.0,53.0,7.69,7.69,7.69,7.5,7.5,3790600.0,54.0,7.31,7.96,8.07,7.31,7.69,27628501.0,55.0,2.0,1.0,7.51,3061800.0,09:36:00,3.0,1,1,0.0505464480874,6298488.83951,10.17,23614537.0,5.53,True,False
600275.XSHG_2017-09-07,1.03434610304,2017-09-07 00:00:00,2017-09-06 00:00:00,600275.XSHG,6.87,6.99,7.35,6.85,6.96,4891400.0,62.0,7.21,7.21,7.21,6.83,6.88,4569001.0,63.0,7.57,7.57,7.57,7.35,7.4,2510501.0,64.0,7.73,7.95,7.95,7.35,7.83,17206484.0,65.0,2.0,1.0,7.38,1368000.0,09:31:00,5.0,2,1,0.0499306518724,5501415.91139,8.5,27628501.0,5.53,True,False
